strain,country
EPI_ISL_2333532,Europe / Norway
EPI_ISL_549145,Europe / Norway
EPI_ISL_581937,Europe / Switzerland
EPI_ISL_654366,Europe / Spain
EPI_ISL_549140,Europe / Norway
EPI_ISL_549153,Europe / Norway
EPI_ISL_754016,Europe / Germany
EPI_ISL_549152,Europe / Norway
EPI_ISL_560618,Europe / France
EPI_ISL_654056,Europe / Spain
EPI_ISL_541918,Europe / Spain
EPI_ISL_549149,Europe / Norway
EPI_ISL_660294,Europe / Spain
EPI_ISL_3008206,Europe / Norway
EPI_ISL_590922,Europe / Norway
EPI_ISL_660293,Europe / Spain
EPI_ISL_2612259,Europe / Norway
EPI_ISL_660295,Europe / Spain
EPI_ISL_660292,Europe / Spain
EPI_ISL_569031,Europe / France
EPI_ISL_660288,Europe / Spain
EPI_ISL_660289,Europe / Spain
EPI_ISL_732811,Europe / Spain
EPI_ISL_1272521,Europe / Spain
EPI_ISL_1272523,Europe / Spain
EPI_ISL_581940,Europe / Switzerland
EPI_ISL_581941,Europe / Switzerland
EPI_ISL_549150,Europe / Norway
EPI_ISL_660291,Europe / Spain
EPI_ISL_549146,Europe / Norway
EPI_ISL_590921,Europe / Norway
EPI_ISL_549147,Europe / Norway
EPI_ISL_549155,Europe / Norway
EPI_ISL_549148,Europe / Norway
EPI_ISL_2426031,Europe / Norway
EPI_ISL_549151,Europe / Norway
EPI_ISL_549046,Europe / Norway
EPI_ISL_549163,Europe / Norway
EPI_ISL_549156,Europe / Norway
EPI_ISL_654057,Europe / Spain
EPI_ISL_660298,Europe / Spain
EPI_ISL_660301,Europe / Spain
EPI_ISL_660300,Europe / Spain
EPI_ISL_1272511,Europe / Spain
EPI_ISL_660303,Europe / Spain
EPI_ISL_660302,Europe / Spain
EPI_ISL_6595283,Europe / Spain
EPI_ISL_654058,Europe / Spain
EPI_ISL_660296,Europe / Spain
EPI_ISL_549032,Europe / Norway
EPI_ISL_1939342,Europe / Canary Islands
EPI_ISL_581942,Europe / Switzerland
EPI_ISL_549159,Europe / Norway
EPI_ISL_2017550,Europe / Spain
EPI_ISL_549042,Europe / Norway
EPI_ISL_549157,Europe / Norway
EPI_ISL_523867,Europe / Switzerland
EPI_ISL_549161,Europe / Norway
EPI_ISL_549160,Europe / Norway
EPI_ISL_549158,Europe / Norway
EPI_ISL_549162,Europe / Norway
EPI_ISL_3800817,Europe / Italy
EPI_ISL_660306,Europe / Spain
EPI_ISL_549047,Europe / Norway
EPI_ISL_654060,Europe / Spain
EPI_ISL_3031183,Europe / Norway
EPI_ISL_549045,Europe / Norway
EPI_ISL_949227,Europe / Spain
EPI_ISL_660305,Europe / Spain
EPI_ISL_654059,Europe / Spain
EPI_ISL_549044,Europe / Norway
EPI_ISL_549043,Europe / Norway
EPI_ISL_523545,Europe / Netherlands
EPI_ISL_2365883,Europe / Spain
EPI_ISL_581943,Europe / Switzerland
EPI_ISL_949226,Europe / Spain
EPI_ISL_581963,Europe / Switzerland
EPI_ISL_1272512,Europe / Spain
EPI_ISL_660310,Europe / Spain
EPI_ISL_831085,Europe / Spain
EPI_ISL_617741,Europe / Denmark
EPI_ISL_617676,Europe / Denmark
EPI_ISL_617797,Europe / Denmark
EPI_ISL_617798,Europe / Denmark
EPI_ISL_1272522,Europe / Spain
EPI_ISL_617684,Europe / Denmark
EPI_ISL_617692,Europe / Denmark
EPI_ISL_617788,Europe / Denmark
EPI_ISL_617605,Europe / Denmark
EPI_ISL_617606,Europe / Denmark
EPI_ISL_617488,Europe / Denmark
EPI_ISL_617479,Europe / Denmark
EPI_ISL_831086,Europe / Spain
EPI_ISL_2491441,Europe / Norway
EPI_ISL_654061,Europe / Spain
EPI_ISL_660308,Europe / Spain
EPI_ISL_581944,Europe / Switzerland
EPI_ISL_531702,Scotland
EPI_ISL_528452,Republic of Ireland
EPI_ISL_1311761,Europe / Netherlands
EPI_ISL_2322436,Europe / Spain
EPI_ISL_660309,Europe / Spain
EPI_ISL_531595,Scotland
EPI_ISL_523868,Europe / Switzerland
EPI_ISL_617730,Europe / Denmark
EPI_ISL_617745,Europe / Denmark
EPI_ISL_523871,Europe / Switzerland
EPI_ISL_523869,Europe / Switzerland
EPI_ISL_523874,Europe / Switzerland
EPI_ISL_660312,Europe / Spain
EPI_ISL_660311,Europe / Spain
EPI_ISL_617430,Europe / Denmark
EPI_ISL_617501,Europe / Denmark
EPI_ISL_2162279,Europe / Spain
EPI_ISL_1126311,Europe / Denmark
EPI_ISL_671243,Europe / Denmark
EPI_ISL_534428,Scotland
EPI_ISL_2491572,Europe / Norway
EPI_ISL_517581,Scotland
EPI_ISL_617611,Europe / Denmark
EPI_ISL_540561,Europe / Belgium
EPI_ISL_617709,Europe / Denmark
EPI_ISL_3232614,Europe / Norway
EPI_ISL_2612260,Europe / Norway
EPI_ISL_617715,Europe / Denmark
EPI_ISL_3320803,Europe / Norway
EPI_ISL_660316,Europe / Spain
EPI_ISL_654192,Europe / Spain
EPI_ISL_523883,Europe / Switzerland
EPI_ISL_949235,Europe / Spain
EPI_ISL_824464,Europe / Spain
EPI_ISL_531768,Scotland
EPI_ISL_531858,Scotland
EPI_ISL_531492,Scotland
EPI_ISL_531634,Scotland
EPI_ISL_654062,Europe / Spain
EPI_ISL_815397,Europe / Spain
EPI_ISL_531464,Scotland
EPI_ISL_660315,Europe / Spain
EPI_ISL_569174,Europe / France
EPI_ISL_541920,Europe / Spain
EPI_ISL_582843,Europe / Spain
EPI_ISL_531577,Scotland
EPI_ISL_824465,Europe / Spain
EPI_ISL_531127,Wales
EPI_ISL_3031181,Europe / Norway
EPI_ISL_732812,Europe / Spain
EPI_ISL_1272505,Europe / Spain
EPI_ISL_1272534,Europe / Spain
EPI_ISL_732778,Europe / Spain
EPI_ISL_531714,Scotland
EPI_ISL_3320804,Europe / Norway
EPI_ISL_3232615,Europe / Norway
EPI_ISL_654193,Europe / Spain
EPI_ISL_660318,Europe / Spain
EPI_ISL_531583,Scotland
EPI_ISL_2017541,Europe / Spain
EPI_ISL_534389,Scotland
EPI_ISL_3190058,Europe / Spain
EPI_ISL_531210,Wales
EPI_ISL_531045,Scotland
EPI_ISL_569181,Europe / France
EPI_ISL_683652,Europe / Spain
EPI_ISL_660319,Europe / Spain
EPI_ISL_660320,Europe / Spain
EPI_ISL_541921,Europe / Spain
EPI_ISL_530976,Scotland
EPI_ISL_531065,Scotland
EPI_ISL_541922,Europe / Spain
EPI_ISL_2404938,Europe / Spain
EPI_ISL_2404936,Europe / Spain
EPI_ISL_531563,Scotland
EPI_ISL_824466,Europe / Spain
EPI_ISL_534393,Scotland
EPI_ISL_815273,Europe / Germany
EPI_ISL_534377,Scotland
EPI_ISL_534396,Scotland
EPI_ISL_949207,Europe / Spain
EPI_ISL_523888,Europe / Switzerland
EPI_ISL_523899,Europe / Switzerland
EPI_ISL_534367,Scotland
EPI_ISL_581951,Europe / Switzerland
EPI_ISL_534365,Scotland
EPI_ISL_534394,Scotland
EPI_ISL_892234,Wales
EPI_ISL_654279,Europe / Spain
EPI_ISL_534383,Scotland
EPI_ISL_531002,Scotland
EPI_ISL_534373,Scotland
EPI_ISL_683624,Europe / Spain
EPI_ISL_1272506,Europe / Spain
EPI_ISL_549033,Europe / Norway
EPI_ISL_827484,Europe / Iceland
EPI_ISL_534387,Scotland
EPI_ISL_1819050,Europe / Spain
EPI_ISL_751343,Europe / Italy
EPI_ISL_528482,Republic of Ireland
EPI_ISL_1272507,Europe / Spain
EPI_ISL_581952,Europe / Switzerland
EPI_ISL_523925,Europe / Switzerland
EPI_ISL_1272508,Europe / Spain
EPI_ISL_660321,Europe / Spain
EPI_ISL_528480,Republic of Ireland
EPI_ISL_732779,Europe / Spain
EPI_ISL_949239,Europe / Spain
EPI_ISL_541924,Europe / Spain
EPI_ISL_541926,Europe / Spain
EPI_ISL_582839,Europe / Sweden
EPI_ISL_2017561,Europe / Spain
EPI_ISL_531166,Scotland
EPI_ISL_4548930,Europe / Spain
EPI_ISL_541925,Europe / Spain
EPI_ISL_531198,Scotland
EPI_ISL_569073,Europe / France
EPI_ISL_531174,Scotland
EPI_ISL_531404,Wales
EPI_ISL_581956,Europe / Switzerland
EPI_ISL_815328,Europe / Germany
EPI_ISL_531006,Scotland
EPI_ISL_581955,Europe / Switzerland
EPI_ISL_815291,Europe / Germany
EPI_ISL_1819047,Europe / Spain
EPI_ISL_568384,Scotland
EPI_ISL_549035,Europe / Norway
EPI_ISL_534376,Scotland
EPI_ISL_534372,Scotland
EPI_ISL_534382,Scotland
EPI_ISL_732780,Europe / Spain
EPI_ISL_1819069,Europe / Spain
EPI_ISL_2017562,Europe / Spain
EPI_ISL_788972,Europe / Italy
EPI_ISL_534386,Scotland
EPI_ISL_1819071,Europe / Spain
EPI_ISL_831087,Europe / Spain
EPI_ISL_539821,Asia / Hong Kong
EPI_ISL_531485,Scotland
EPI_ISL_531470,Scotland
EPI_ISL_815277,Europe / Germany
EPI_ISL_616487,Europe / Denmark
