tip,cluster,timepoint
EPI_ISL_3205246,8,D
EPI_ISL_3298509,8,D
EPI_ISL_3298547,8,D
EPI_ISL_3717012,8,D
EPI_ISL_3136380,8,D
EPI_ISL_2932211,8,D
EPI_ISL_3118101,8,D
EPI_ISL_3374842,8,D
EPI_ISL_3356156,8,D
EPI_ISL_3102109,8,D
EPI_ISL_3204965,8,D
EPI_ISL_2938311,8,D
EPI_ISL_2862383,8,D
EPI_ISL_2984424,8,D
EPI_ISL_3374916,8,D
EPI_ISL_3102108,8,D
EPI_ISL_3154490,8,D
EPI_ISL_2789508,8,D
EPI_ISL_3030912,8,D
EPI_ISL_2893165,8,D
EPI_ISL_2862367,8,D
EPI_ISL_3058286,8,D
EPI_ISL_3154673,8,D
EPI_ISL_3045767,8,D
EPI_ISL_3154686,8,D
EPI_ISL_3298458,8,D
EPI_ISL_3591142,8,D
EPI_ISL_3591110,8,D
EPI_ISL_3045745,8,D
EPI_ISL_2931996,8,D
EPI_ISL_2931932,8,D
EPI_ISL_3011545,8,D
EPI_ISL_3247623,8,D
EPI_ISL_2893113,8,D
EPI_ISL_3045715,8,D
EPI_ISL_3375041,8,D
EPI_ISL_3253130,8,D
EPI_ISL_3011593,8,D
EPI_ISL_3253158,8,D
EPI_ISL_2893194,8,D
EPI_ISL_2789707,8,D
EPI_ISL_3356053,8,D
EPI_ISL_2789533,8,D
EPI_ISL_3045617,8,D
EPI_ISL_3154464,8,D
EPI_ISL_3247629,8,D
EPI_ISL_3205442,8,D
EPI_ISL_3118093,8,D
EPI_ISL_3375035,8,D
EPI_ISL_2968201,8,D
EPI_ISL_2931928,8,D
EPI_ISL_3088252,8,D
EPI_ISL_3247672,8,D
EPI_ISL_3058431,8,D
EPI_ISL_3374944,8,D
EPI_ISL_2931945,8,D
EPI_ISL_3136431,8,D
EPI_ISL_2893187,8,D
EPI_ISL_3154598,8,D
EPI_ISL_3118092,8,D
EPI_ISL_2789553,8,D
EPI_ISL_2932003,8,D
EPI_ISL_2932087,8,D
EPI_ISL_3058415,8,D
EPI_ISL_2984303,8,D
EPI_ISL_3136365,8,D
EPI_ISL_2789584,8,D
EPI_ISL_2893080,8,D
EPI_ISL_3374910,8,D
EPI_ISL_2893206,8,D
EPI_ISL_2984427,8,D
EPI_ISL_3011407,8,D
EPI_ISL_3058369,8,D
EPI_ISL_3136449,8,D
EPI_ISL_2984317,8,D
EPI_ISL_3011391,8,D
EPI_ISL_3459374,8,D
EPI_ISL_3058282,8,D
EPI_ISL_3088050,8,D
EPI_ISL_3011399,8,D
EPI_ISL_3535365,8,D
EPI_ISL_3058346,8,D
EPI_ISL_2931940,8,D
EPI_ISL_3118081,8,D
EPI_ISL_3205357,8,D
EPI_ISL_3058450,8,D
EPI_ISL_3058482,8,D
EPI_ISL_2968190,8,D
EPI_ISL_3467687,8,D
EPI_ISL_3136305,8,D
EPI_ISL_2932149,8,D
EPI_ISL_3102107,8,D
EPI_ISL_3204899,8,D
EPI_ISL_3205097,8,D
EPI_ISL_3102111,8,D
EPI_ISL_3011477,8,D
EPI_ISL_3058435,8,D
EPI_ISL_3205161,8,D
EPI_ISL_2984396,8,D
EPI_ISL_2984296,8,D
EPI_ISL_3011551,8,D
EPI_ISL_2932255,8,D
EPI_ISL_3058278,8,D
EPI_ISL_3118015,8,D
EPI_ISL_3468087,8,D
EPI_ISL_3058427,8,D
EPI_ISL_2968264,8,D
EPI_ISL_2984301,8,D
EPI_ISL_3102110,8,D
EPI_ISL_3247655,8,D
EPI_ISL_3011410,8,D
EPI_ISL_3088173,8,D
EPI_ISL_3739455,8,D
EPI_ISL_3030814,8,D
EPI_ISL_3088200,8,D
EPI_ISL_3205121,8,D
EPI_ISL_3058308,8,D
EPI_ISL_3088038,8,D
EPI_ISL_2931925,8,D
EPI_ISL_3154591,8,D
EPI_ISL_2984364,8,D
EPI_ISL_3088047,8,D
EPI_ISL_3118175,8,D
EPI_ISL_2789710,8,D
EPI_ISL_3088285,8,D
EPI_ISL_3118109,8,D
EPI_ISL_3154493,8,D
EPI_ISL_2862423,8,D
EPI_ISL_2862369,8,D
EPI_ISL_3154624,8,D
EPI_ISL_3011487,8,D
EPI_ISL_3502994,8,D
EPI_ISL_2931930,8,D
EPI_ISL_3356152,8,D
EPI_ISL_3011374,8,D
EPI_ISL_2862421,8,D
EPI_ISL_2968259,8,D
EPI_ISL_3058473,8,D
EPI_ISL_2968165,8,D
EPI_ISL_2968164,8,D
EPI_ISL_2893040,8,D
EPI_ISL_3252998,8,D
EPI_ISL_3136408,8,D
EPI_ISL_2789559,8,D
EPI_ISL_3154473,8,D
EPI_ISL_3154520,8,D
EPI_ISL_10139566,8,D
EPI_ISL_2932043,8,D
EPI_ISL_3205185,8,D
EPI_ISL_3088130,8,D
EPI_ISL_3205409,8,D
EPI_ISL_3011475,8,D
EPI_ISL_3011460,8,D
EPI_ISL_2931984,8,D
EPI_ISL_2984340,8,D
EPI_ISL_3011272,8,D
EPI_ISL_2862407,8,D
EPI_ISL_3374906,8,D
EPI_ISL_3058411,8,D
EPI_ISL_3058479,8,D
EPI_ISL_2931951,8,D
EPI_ISL_3088028,8,D
EPI_ISL_2931976,8,D
EPI_ISL_2968137,8,D
EPI_ISL_2789591,8,D
EPI_ISL_3058349,8,D
EPI_ISL_3087991,8,D
EPI_ISL_3088288,8,D
EPI_ISL_2862396,8,D
EPI_ISL_2932167,8,D
EPI_ISL_2984293,8,D
EPI_ISL_2968246,8,D
EPI_ISL_3058354,8,D
EPI_ISL_3088218,8,D
EPI_ISL_3045699,8,D
EPI_ISL_2984417,8,D
EPI_ISL_3087990,8,D
EPI_ISL_2968247,8,D
EPI_ISL_2984295,8,D
EPI_ISL_2984262,8,D
EPI_ISL_2862362,8,D
EPI_ISL_3136366,8,D
EPI_ISL_3205276,8,D
EPI_ISL_3205063,8,D
EPI_ISL_3374931,8,D
EPI_ISL_3375079,8,D
EPI_ISL_2862385,8,D
EPI_ISL_2893111,8,D
EPI_ISL_2893148,8,D
EPI_ISL_2932163,8,D
EPI_ISL_3356144,8,D
EPI_ISL_3467587,8,D
EPI_ISL_2893117,8,D
EPI_ISL_3247718,8,D
EPI_ISL_3253035,8,D
EPI_ISL_3030754,8,D
EPI_ISL_3088238,8,D
EPI_ISL_2893047,8,D
EPI_ISL_3058296,8,D
EPI_ISL_3374844,8,D
EPI_ISL_2789551,8,D
EPI_ISL_3118162,8,D
EPI_ISL_3058271,8,D
EPI_ISL_2932047,8,D
EPI_ISL_3030903,8,D
EPI_ISL_2893153,8,D
EPI_ISL_3011304,8,D
EPI_ISL_3088127,8,D
EPI_ISL_2968262,8,D
EPI_ISL_2931957,8,D
EPI_ISL_3374927,8,D
EPI_ISL_3118174,8,D
EPI_ISL_3247545,8,D
EPI_ISL_2893201,8,D
EPI_ISL_2931944,8,D
EPI_ISL_3088261,8,D
EPI_ISL_2968200,8,D
EPI_ISL_3088105,8,D
EPI_ISL_3088162,8,D
EPI_ISL_3204967,8,D
EPI_ISL_2984270,8,D
EPI_ISL_3011406,8,D
EPI_ISL_2862371,8,D
EPI_ISL_3205304,8,D
EPI_ISL_2931989,8,D
EPI_ISL_2893089,8,D
EPI_ISL_3136308,8,D
EPI_ISL_2862386,8,D
EPI_ISL_3205073,8,D
EPI_ISL_3535379,8,D
EPI_ISL_2932177,8,D
EPI_ISL_2984387,8,D
EPI_ISL_3154670,8,D
EPI_ISL_2893155,8,D
EPI_ISL_3356238,8,D
EPI_ISL_3088242,8,D
EPI_ISL_3374983,8,D
EPI_ISL_3088274,8,D
EPI_ISL_2968159,8,D
EPI_ISL_3136399,8,D
EPI_ISL_2893076,8,D
EPI_ISL_3247654,8,D
EPI_ISL_3011541,8,D
EPI_ISL_2931981,8,D
EPI_ISL_3118062,8,D
EPI_ISL_3030751,8,D
EPI_ISL_3118007,8,D
EPI_ISL_3011467,8,D
EPI_ISL_3467688,8,D
EPI_ISL_2862400,8,D
EPI_ISL_2862395,8,D
EPI_ISL_2893141,8,D
EPI_ISL_3045748,8,D
EPI_ISL_2968154,8,D
EPI_ISL_3356173,8,D
EPI_ISL_2931975,8,D
EPI_ISL_3154488,8,D
EPI_ISL_3058456,8,D
EPI_ISL_2931972,8,D
EPI_ISL_2968285,8,D
EPI_ISL_3247754,8,D
EPI_ISL_3088160,8,D
EPI_ISL_3253052,8,D
EPI_ISL_3030749,8,D
EPI_ISL_3356020,8,D
EPI_ISL_2893107,8,D
EPI_ISL_3045746,8,D
EPI_ISL_3118003,8,D
EPI_ISL_2984312,8,D
EPI_ISL_3118099,8,D
EPI_ISL_3088133,8,D
EPI_ISL_3058412,8,D
EPI_ISL_3356091,8,D
EPI_ISL_3088283,8,D
EPI_ISL_2932241,8,D
EPI_ISL_2984367,8,D
EPI_ISL_2862411,8,D
EPI_ISL_3118158,8,D
EPI_ISL_3154472,8,D
EPI_ISL_3088290,8,D
EPI_ISL_3467921,8,D
EPI_ISL_3045644,8,D
EPI_ISL_3011413,8,D
EPI_ISL_3058432,8,D
EPI_ISL_3058306,8,D
EPI_ISL_2968234,8,D
EPI_ISL_2932005,8,D
EPI_ISL_3118181,8,D
EPI_ISL_3118070,8,D
EPI_ISL_2862424,8,D
EPI_ISL_2931960,8,D
EPI_ISL_2932154,8,D
EPI_ISL_3011473,8,D
EPI_ISL_3118153,8,D
EPI_ISL_2893133,8,D
EPI_ISL_3058353,8,D
EPI_ISL_2984393,8,D
EPI_ISL_3088174,8,D
EPI_ISL_3154459,8,D
EPI_ISL_3088019,8,D
EPI_ISL_2968177,8,D
EPI_ISL_2862401,8,D
EPI_ISL_2932174,8,D
EPI_ISL_2932026,8,D
EPI_ISL_3154685,8,D
EPI_ISL_2862412,8,D
EPI_ISL_3205279,8,D
EPI_ISL_3375033,8,D
EPI_ISL_2968261,8,D
EPI_ISL_2984304,8,D
EPI_ISL_2862417,8,D
EPI_ISL_3136454,8,D
EPI_ISL_3247666,8,D
EPI_ISL_3088039,8,D
EPI_ISL_2984366,8,D
EPI_ISL_3011271,8,D
EPI_ISL_2932103,8,D
EPI_ISL_10265857,8,D
EPI_ISL_3058414,8,D
EPI_ISL_2893125,8,D
EPI_ISL_3356147,8,D
EPI_ISL_2931963,8,D
EPI_ISL_3204919,8,D
EPI_ISL_3739510,8,D
EPI_ISL_3118166,8,D
EPI_ISL_2931967,8,D
EPI_ISL_2893121,8,D
EPI_ISL_3136388,8,D
EPI_ISL_2968244,8,D
EPI_ISL_3247765,8,D
EPI_ISL_2932179,8,D
EPI_ISL_3118169,8,D
EPI_ISL_2931990,8,D
EPI_ISL_2931946,8,D
EPI_ISL_3058407,8,D
EPI_ISL_2984379,8,D
EPI_ISL_3045709,8,D
EPI_ISL_3799425,8,D
EPI_ISL_3117996,8,D
EPI_ISL_2893082,8,D
EPI_ISL_3154487,8,D
EPI_ISL_3045742,8,D
EPI_ISL_3011409,8,D
EPI_ISL_3118057,8,D
EPI_ISL_2938312,8,D
EPI_ISL_3591092,8,D
EPI_ISL_2932221,8,D
EPI_ISL_2893180,8,D
EPI_ISL_3045760,8,D
EPI_ISL_3011327,8,D
EPI_ISL_2862368,8,D
EPI_ISL_3204986,8,D
EPI_ISL_2893138,8,D
EPI_ISL_3118157,8,D
EPI_ISL_3739362,8,D
EPI_ISL_3118068,8,D
EPI_ISL_3136400,8,D
EPI_ISL_3118050,8,D
EPI_ISL_3356072,8,D
EPI_ISL_3136259,8,D
EPI_ISL_2931956,8,D
EPI_ISL_3058464,8,D
EPI_ISL_2931997,8,D
EPI_ISL_3374953,8,D
EPI_ISL_3011423,8,D
EPI_ISL_2931983,8,D
EPI_ISL_2968273,8,D
EPI_ISL_3591132,8,D
EPI_ISL_2932092,8,D
EPI_ISL_3374962,8,D
EPI_ISL_3088183,8,D
EPI_ISL_3011507,8,D
EPI_ISL_3374945,8,D
EPI_ISL_2893132,8,D
EPI_ISL_2984308,8,D
EPI_ISL_2984314,8,D
EPI_ISL_3672130,8,D
EPI_ISL_3030810,8,D
EPI_ISL_3375062,8,D
EPI_ISL_2932178,8,D
EPI_ISL_3154691,8,D
EPI_ISL_3088262,8,D
EPI_ISL_3374939,8,D
EPI_ISL_2789593,8,D
EPI_ISL_2984391,8,D
EPI_ISL_3356062,8,D
EPI_ISL_3672167,8,D
EPI_ISL_3011401,8,D
EPI_ISL_2932049,8,D
EPI_ISL_3205171,8,D
EPI_ISL_3088224,8,D
EPI_ISL_3591047,8,D
EPI_ISL_2862387,8,D
EPI_ISL_3088099,8,D
EPI_ISL_2789545,8,D
EPI_ISL_3154462,8,D
EPI_ISL_3253042,8,D
EPI_ISL_3118045,8,D
EPI_ISL_3247549,8,D
EPI_ISL_3088045,8,D
EPI_ISL_3088270,8,D
EPI_ISL_3591057,8,D
EPI_ISL_2862360,8,D
EPI_ISL_3011547,8,D
EPI_ISL_3205412,8,D
EPI_ISL_2968211,8,D
EPI_ISL_3118191,8,D
EPI_ISL_3045611,8,D
EPI_ISL_3088193,8,D
EPI_ISL_3298534,8,D
EPI_ISL_2893191,8,D
EPI_ISL_3058401,8,D
EPI_ISL_2789596,8,D
EPI_ISL_3058422,8,D
EPI_ISL_3045676,8,D
EPI_ISL_2893195,8,D
EPI_ISL_2968250,8,D
EPI_ISL_3088273,8,D
EPI_ISL_3253013,8,D
EPI_ISL_2789550,8,D
EPI_ISL_3136442,8,D
EPI_ISL_2789601,8,D
EPI_ISL_3136330,8,D
EPI_ISL_2789671,8,D
