node	country
EPI_ISL_416600	Asia / Japan
EPI_ISL_416632	Asia / Japan
EPI_ISL_416634	Asia / Japan
EPI_ISL_416569	Asia / Japan
EPI_ISL_416592	Asia / Japan
EPI_ISL_454749	Asia / Japan
EPI_ISL_480033	Asia / Japan
EPI_ISL_416597	Asia / Japan
EPI_ISL_416611	Asia / Japan
EPI_ISL_416631	Asia / Japan
EPI_ISL_416617	Asia / Japan
EPI_ISL_416595	Asia / Japan
EPI_ISL_410531	Asia / Japan
EPI_ISL_727998	Asia / Japan
EPI_ISL_416596	Asia / Japan
EPI_ISL_412968	Asia / Japan
EPI_ISL_416629	Asia / Japan
EPI_ISL_416573	Asia / Japan
EPI_ISL_416572	Asia / Japan
EPI_ISL_416575	Asia / Japan
EPI_ISL_416576	Asia / Japan
EPI_ISL_416580	Asia / Japan
EPI_ISL_684139	Asia / Japan
EPI_ISL_684163	Asia / Japan
EPI_ISL_2544695	Asia / Japan
node_1076	Scotland
EPI_ISL_425863	Scotland
EPI_ISL_433434	Scotland
node_1518954	Scotland
node_1518956	Scotland
node_1518963	Scotland
EPI_ISL_425699	Scotland
EPI_ISL_459508	Scotland
EPI_ISL_425895	Scotland
EPI_ISL_425871	Scotland
EPI_ISL_425849	Scotland
EPI_ISL_425848	Scotland
EPI_ISL_425869	Scotland
EPI_ISL_425865	Scotland
EPI_ISL_425883	Scotland
EPI_ISL_459596	Scotland
EPI_ISL_425898	Scotland
EPI_ISL_425999	Scotland
EPI_ISL_425657	Scotland
EPI_ISL_425998	Scotland
EPI_ISL_425993	Scotland
EPI_ISL_425730	Scotland
EPI_ISL_425885	Scotland
EPI_ISL_425882	Scotland
EPI_ISL_425881	Scotland
EPI_ISL_426002	Scotland
EPI_ISL_426004	Scotland
EPI_ISL_426006	Scotland
EPI_ISL_433198	Scotland
node_1490	Europe / France
node_1519017	Europe / France
EPI_ISL_410486	Europe / France
EPI_ISL_2549107	Europe / Norway
EPI_ISL_2425855	Europe / Norway
EPI_ISL_420151	Europe / Norway
node_1503	North America / USA
node_4581	North America / USA
node_5599	North America / USA
EPI_ISL_435671	North America / USA
node_1518246	North America / USA
